,Date,Symbols,Close,High,Low,Open,Volume
0,2024-07-19,GM,48.3,49.56,48.16,49.54,16931003.0
1,2024-07-18,GM,49.65,50.5,49.165,50.0,12268007.0
2,2024-07-17,GM,49.9,49.965,49.14,49.4,9158492.0
3,2024-07-16,GM,49.77,49.99,48.81,49.32,10192481.0
4,2024-07-15,GM,49.3,50.0,49.16,49.5,11073440.0
5,2024-07-12,GM,49.01,49.35,47.91,48.02,16289556.0
6,2024-07-11,GM,47.93,48.0,46.83,46.9,16686620.0
7,2024-07-10,GM,46.53,46.77,46.36,46.51,6711734.0
8,2024-07-09,GM,46.26,46.84,46.185,46.45,9664247.0
9,2024-07-08,GM,46.55,47.48,46.215,46.8,10868908.0
10,2024-07-05,GM,46.52,47.085,46.19,46.62,11452689.0
11,2024-07-03,GM,46.71,47.07,46.2821,46.98,5440684.0
12,2024-07-02,GM,46.95,47.08,46.37,46.4,11338265.0
13,2024-07-01,GM,46.68,47.165,46.29,46.52,10825072.0
14,2024-06-28,GM,46.46,46.66,45.97,46.03,15020440.0
15,2024-06-27,GM,45.58,46.0498,45.3,45.69,10409764.0
16,2024-06-26,GM,45.77,46.13,45.52,45.9,13055946.0
17,2024-06-25,GM,46.41,48.1,45.93,48.0,18067124.0
18,2024-06-24,GM,48.11,48.69,47.77,47.77,46697661.0
19,2024-06-21,GM,47.72,47.86,47.05,47.78,16737261.0
20,2024-06-20,GM,47.77,47.945,47.255,47.31,10118008.0
21,2024-06-18,GM,47.44,48.04,47.28,47.29,9691071.0
22,2024-06-17,GM,47.4,47.53,46.705,46.78,9720620.0
23,2024-06-14,GM,46.77,47.39,45.93,47.135,14716546.0
24,2024-06-13,GM,47.65,48.72,47.39,48.62,19451724.0
25,2024-06-12,GM,48.86,49.35,48.63,48.84,14222209.0
26,2024-06-11,GM,48.21,48.9469,47.68,48.26,21186992.0
27,2024-06-10,GM,47.57,47.76,45.64,45.69,18578778.0
28,2024-06-07,GM,45.72,46.08,45.2,45.35,10811697.0
29,2024-06-06,GM,45.61,45.975,45.425,45.58,10169784.0
30,2024-06-05,GM,45.62,45.685,44.815,45.55,24724923.0
31,2024-06-04,GM,45.26,45.77,45.04,45.32,9505355.0
32,2024-06-03,GM,45.74,45.96,44.96,44.96,15698535.0
33,2024-05-31,GM,44.99,45.02,43.0,43.21,32674633.0
34,2024-05-30,GM,43.41,43.48,42.62,42.81,9268652.0
35,2024-05-29,GM,42.64,42.745,42.27,42.62,13262326.0
36,2024-05-28,GM,43.09,43.77,42.8,43.7,13749201.0
37,2024-05-24,GM,44.11,44.32,43.865,44.07,7373009.0
38,2024-05-23,GM,43.73,44.055,43.38,43.97,10643657.0
39,2024-05-22,GM,43.97,44.64,43.73,44.6,11874498.0
40,2024-05-21,GM,44.92,45.18,44.56,44.97,9910972.0
41,2024-05-20,GM,45.11,45.91,45.07,45.75,9070726.0
42,2024-05-17,GM,45.76,46.08,45.585,46.07,11412802.0
43,2024-05-16,GM,45.87,46.095,45.374,45.38,11335861.0
44,2024-05-15,GM,45.49,45.64,45.07,45.5,11054698.0
45,2024-05-14,GM,45.03,45.79,44.75,45.5,10894317.0
46,2024-05-13,GM,45.17,45.98,45.08,45.56,13826395.0
47,2024-05-10,GM,45.21,45.6299,45.05,45.58,7917797.0
48,2024-05-09,GM,45.36,45.66,44.8,44.98,9349772.0
49,2024-05-08,GM,45.05,45.395,44.58,44.85,7568502.0
50,2024-05-07,GM,45.28,45.84,45.165,45.19,9135865.0
51,2024-05-06,GM,45.06,45.54,44.96,45.1,10301582.0
52,2024-05-03,GM,44.86,45.545,44.505,45.03,10046006.0
53,2024-05-02,GM,44.67,45.15,44.57,44.9,13214851.0
54,2024-05-01,GM,44.47,45.195,44.38,44.5,13987629.0
55,2024-04-30,GM,44.53,45.42,44.26,45.21,15951304.0
56,2024-04-29,GM,46.04,46.15,45.54,46.0,10577406.0
57,2024-04-26,GM,45.84,46.165,45.41,45.6,12153282.0
58,2024-04-25,GM,45.62,45.85,44.49,44.67,14912507.0
59,2024-04-24,GM,45.08,45.31,44.62,45.31,15013881.0
60,2024-04-23,GM,45.1,45.96,44.37,45.89,28767300.0
61,2024-04-22,GM,43.21,43.56,42.205,42.68,21315076.0
62,2024-04-19,GM,42.37,42.96,42.185,42.51,15505430.0
63,2024-04-18,GM,42.44,42.835,42.01,42.77,14180458.0
64,2024-04-17,GM,42.46,43.16,42.2905,42.91,10663327.0
65,2024-04-16,GM,42.66,42.92,42.13,42.49,12384851.0
66,2024-04-15,GM,42.69,43.98,42.52,43.73,13499590.0
67,2024-04-12,GM,43.08,43.58,42.645,43.5,11903888.0
68,2024-04-11,GM,43.84,43.99,43.19,43.9,19562960.0
69,2024-04-10,GM,43.94,44.55,43.51,43.9,11636353.0
70,2024-04-09,GM,44.73,44.865,44.07,44.58,8794803.0
71,2024-04-08,GM,44.34,44.85,44.2803,44.43,8250408.0
72,2024-04-05,GM,44.23,44.305,43.46,43.72,11210456.0
73,2024-04-04,GM,43.68,46.04,43.62,45.71,16988628.0
74,2024-04-03,GM,45.17,45.42,44.64,44.67,14377133.0
75,2024-04-02,GM,44.89,45.26,44.59,44.97,13061879.0
76,2024-04-01,GM,45.4,45.73,44.98,45.13,11008265.0
77,2024-03-28,GM,45.35,45.535,44.6,44.63,14766376.0
78,2024-03-27,GM,44.59,44.81,44.05,44.06,22172122.0
79,2024-03-26,GM,44.0,44.57,43.425,43.69,15961253.0
80,2024-03-25,GM,43.55,43.96,43.06,43.06,14644724.0
81,2024-03-22,GM,43.06,43.655,43.0,43.3,9393825.0
82,2024-03-21,GM,43.42,43.59,42.84,42.92,15268254.0
83,2024-03-20,GM,42.85,42.89,41.36,41.42,16909341.0
84,2024-03-19,GM,41.51,41.68,40.72,40.92,15936425.0
85,2024-03-18,GM,40.82,40.925,40.33,40.89,16126578.0
86,2024-03-15,GM,40.69,40.82,39.27,39.27,82751221.0
87,2024-03-14,GM,39.38,40.34,38.945,40.18,18012944.0
88,2024-03-13,GM,40.26,40.47,39.34,39.46,19081322.0
89,2024-03-12,GM,39.21,39.62,38.96,39.58,19442475.0
90,2024-03-11,GM,39.53,39.81,39.22,39.28,11659067.0
91,2024-03-08,GM,39.5,40.145,39.31,39.35,12923874.0
92,2024-03-07,GM,39.35,40.3199,39.255,40.17,15428027.0
93,2024-03-06,GM,40.15,40.7388,39.8303,40.65,15511179.0
94,2024-03-05,GM,40.65,40.885,40.13,40.7,18913473.0
95,2024-03-04,GM,40.93,41.52,40.76,41.0,14703085.0
96,2024-03-01,GM,40.99,41.8,40.395,40.805,13079612.0
97,2024-02-29,GM,40.98,41.335,40.635,40.77,18005220.0
98,2024-02-28,GM,40.63,41.08,40.05,40.06,15697520.0
99,2024-02-27,GM,40.18,40.6,39.85,40.23,11507720.0
100,2024-02-26,GM,39.79,40.73,39.6,39.64,16610224.0
101,2024-02-23,GM,39.63,39.95,39.32,39.36,15194425.0
102,2024-02-22,GM,39.34,39.8,39.16,39.55,11458142.0
103,2024-02-21,GM,39.49,39.82,38.96,38.96,15987810.0
104,2024-02-20,GM,39.01,39.17,38.125,38.35,16971324.0
105,2024-02-16,GM,38.7,39.055,38.62,38.8,12396651.0
106,2024-02-15,GM,38.99,39.51,38.64,38.67,15688586.0
107,2024-02-14,GM,38.37,38.75,38.05,38.58,13278490.0
108,2024-02-13,GM,38.31,38.94,37.83,38.8,18979037.0
109,2024-02-12,GM,39.28,39.535,38.51,38.54,18113133.0
110,2024-02-09,GM,38.56,38.975,38.45,38.62,13065974.0
111,2024-02-08,GM,38.65,38.94,38.42,38.84,15864503.0
112,2024-02-07,GM,38.72,39.12,38.1,38.54,19093754.0
113,2024-02-06,GM,38.03,38.6699,37.6,37.6,16288896.0
114,2024-02-05,GM,37.79,38.69,37.68,38.53,19722400.0
115,2024-02-02,GM,38.91,39.19,38.29,38.53,19818286.0
116,2024-02-01,GM,38.87,39.31,38.53,39.18,21343029.0
117,2024-01-31,GM,38.8,39.75,38.13,38.2,34203076.0
118,2024-01-30,GM,38.15,38.96,37.4,38.352,57982618.0
119,2024-01-29,GM,35.39,35.61,34.93,35.2,24054758.0
120,2024-01-26,GM,35.18,35.545,35.04,35.16,14190100.0
121,2024-01-25,GM,35.16,35.26,34.71,34.96,21520315.0
122,2024-01-24,GM,34.7,35.595,34.56,35.29,15483431.0
123,2024-01-23,GM,35.23,35.76,34.94,35.62,16822833.0
124,2024-01-22,GM,35.32,36.05,35.28,35.55,15127058.0
125,2024-01-19,GM,35.51,35.66,34.34,34.59,17599019.0
