,Date,Symbols,Close,High,Low,Open,Volume
0,2024-07-19,INFY,21.68,21.87,21.31,21.31,16443577.0
1,2024-07-18,INFY,22.25,22.61,21.52,21.66,42176088.0
2,2024-07-17,INFY,20.53,20.68,20.46,20.54,14389190.0
3,2024-07-16,INFY,20.66,20.66,20.47,20.51,7137487.0
4,2024-07-15,INFY,20.31,20.41,20.17,20.17,11641712.0
5,2024-07-12,INFY,20.4,20.46,20.13,20.16,10583669.0
6,2024-07-11,INFY,19.89,20.065,19.59,19.64,14459349.0
7,2024-07-10,INFY,19.37,19.51,19.16,19.45,16768772.0
8,2024-07-09,INFY,19.3,19.59,19.29,19.58,12586754.0
9,2024-07-08,INFY,19.5,19.63,19.47,19.61,10911147.0
10,2024-07-05,INFY,19.43,19.565,19.345,19.45,7709818.0
11,2024-07-03,INFY,19.37,19.43,19.28,19.29,7252432.0
12,2024-07-02,INFY,19.23,19.26,19.04,19.1,10531768.0
13,2024-07-01,INFY,18.76,18.95,18.71,18.88,8064196.0
14,2024-06-28,INFY,18.62,18.74,18.54,18.69,9520327.0
15,2024-06-27,INFY,18.63,18.7,18.55,18.62,8949400.0
16,2024-06-26,INFY,18.22,18.35,18.16,18.29,8693577.0
17,2024-06-25,INFY,18.34,18.36,18.16,18.26,8733209.0
18,2024-06-24,INFY,18.14,18.19,17.96,17.99,5758832.0
19,2024-06-21,INFY,18.06,18.235,17.895,18.21,22822115.0
20,2024-06-20,INFY,18.27,18.48,18.16,18.42,17345618.0
21,2024-06-18,INFY,17.91,18.07,17.88,17.98,10828279.0
22,2024-06-17,INFY,17.94,17.99,17.73,17.77,6348824.0
23,2024-06-14,INFY,17.79,17.81,17.62,17.68,6694680.0
24,2024-06-13,INFY,17.81,17.895,17.74,17.85,6850987.0
25,2024-06-12,INFY,17.86,17.91,17.745,17.8,6033855.0
26,2024-06-11,INFY,17.79,17.82,17.6,17.81,5756537.0
27,2024-06-10,INFY,17.84,17.87,17.65,17.71,6404494.0
28,2024-06-07,INFY,18.01,18.165,17.91,18.06,11158217.0
29,2024-06-06,INFY,17.54,17.55,17.39,17.43,7386036.0
30,2024-06-05,INFY,17.15,17.1775,16.995,17.09,7513164.0
31,2024-06-04,INFY,16.8,16.8,16.56,16.69,8822761.0
32,2024-06-03,INFY,16.85,16.93,16.685,16.87,8585303.0
33,2024-05-31,INFY,16.75,16.82,16.435,16.73,14253851.0
34,2024-05-30,INFY,16.87,16.96,16.765,16.91,11351725.0
35,2024-05-29,INFY,17.03,17.145,17.0,17.12,8563881.0
36,2024-05-28,INFY,17.32,17.39,17.27,17.31,11508090.0
37,2024-05-24,INFY,17.36,17.48,17.33,17.4,9240966.0
38,2024-05-23,INFY,17.4,17.52,17.37,17.44,9249325.0
39,2024-05-22,INFY,17.27,17.305,17.19,17.26,8385703.0
40,2024-05-21,INFY,17.01,17.105,17.0,17.06,7889699.0
41,2024-05-20,INFY,17.13,17.22,17.105,17.16,6096143.0
42,2024-05-17,INFY,17.13,17.17,17.02,17.15,7986021.0
43,2024-05-16,INFY,17.24,17.285,17.15,17.21,10753379.0
44,2024-05-15,INFY,17.05,17.13,16.855,17.02,4019706.0
45,2024-05-14,INFY,16.95,17.005,16.865,17.0,9395529.0
46,2024-05-13,INFY,16.92,17.04,16.89,16.94,5923420.0
47,2024-05-10,INFY,16.87,16.96,16.79,16.94,10340938.0
48,2024-05-09,INFY,16.97,17.055,16.89,17.04,12308357.0
49,2024-05-08,INFY,17.09,17.14,16.9,16.99,4739078.0
50,2024-05-07,INFY,17.13,17.19,16.99,17.06,8843245.0
51,2024-05-06,INFY,16.97,17.04,16.95,17.0,4209740.0
52,2024-05-03,INFY,16.93,16.99,16.865,16.92,4035491.0
53,2024-05-02,INFY,16.87,16.91,16.625,16.85,8716723.0
54,2024-05-01,INFY,16.77,16.89,16.68,16.72,6966163.0
55,2024-04-30,INFY,16.71,16.955,16.71,16.93,11349100.0
56,2024-04-29,INFY,16.97,17.09,16.93,16.95,7426646.0
57,2024-04-26,INFY,16.94,17.13,16.88,17.11,8845064.0
58,2024-04-25,INFY,17.01,17.1,16.83,17.02,10657292.0
59,2024-04-24,INFY,17.04,17.23,16.925,17.16,10685020.0
60,2024-04-23,INFY,17.16,17.37,17.125,17.3,8832391.0
61,2024-04-22,INFY,17.3,17.39,16.96,17.05,19944729.0
62,2024-04-19,INFY,16.81,16.955,16.68,16.76,16181812.0
63,2024-04-18,INFY,16.51,16.9,16.04,16.26,31703017.0
64,2024-04-17,INFY,16.95,17.18,16.87,17.14,17034055.0
65,2024-04-16,INFY,17.05,17.19,16.98,16.98,13033300.0
66,2024-04-15,INFY,17.27,17.71,17.26,17.69,11374324.0
67,2024-04-12,INFY,17.72,17.86,17.53,17.78,17657863.0
68,2024-04-11,INFY,17.94,18.14,17.85,18.14,13389337.0
69,2024-04-10,INFY,18.0,18.08,17.865,18.0,11552970.0
70,2024-04-09,INFY,18.19,18.27,18.01,18.03,13468025.0
71,2024-04-08,INFY,17.86,17.96,17.725,17.74,8716620.0
72,2024-04-05,INFY,17.83,17.85,17.65,17.7,5967437.0
73,2024-04-04,INFY,17.75,18.02,17.65,17.74,12716553.0
74,2024-04-03,INFY,17.72,17.815,17.52,17.55,8871534.0
75,2024-04-02,INFY,17.58,17.61,17.39,17.43,12687032.0
76,2024-04-01,INFY,17.58,17.92,17.5,17.89,14601668.0
77,2024-03-28,INFY,17.93,17.99,17.79,17.79,7019628.0
78,2024-03-27,INFY,17.79,17.84,17.68,17.83,6074800.0
79,2024-03-26,INFY,17.75,17.82,17.64,17.71,10500915.0
80,2024-03-25,INFY,17.63,17.79,17.59,17.79,12454542.0
81,2024-03-22,INFY,17.72,18.12,17.69,18.11,15028701.0
82,2024-03-21,INFY,18.21,18.49,18.13,18.35,22905017.0
83,2024-03-20,INFY,18.93,18.93,18.635,18.67,9677272.0
84,2024-03-19,INFY,18.85,18.85,18.63,18.69,9561183.0
85,2024-03-18,INFY,19.17,19.23,19.07,19.19,6324207.0
86,2024-03-15,INFY,19.23,19.66,19.215,19.62,13296104.0
87,2024-03-14,INFY,19.66,19.905,19.57,19.8,8476932.0
88,2024-03-13,INFY,19.39,19.45,19.29,19.35,7170983.0
89,2024-03-12,INFY,19.42,19.565,19.35,19.43,11415938.0
90,2024-03-11,INFY,19.22,19.3,19.17,19.21,8544227.0
91,2024-03-08,INFY,19.26,19.45,19.25,19.4,8183315.0
92,2024-03-07,INFY,19.39,19.515,19.34,19.5,11084125.0
93,2024-03-06,INFY,19.33,19.62,19.3,19.52,9226489.0
94,2024-03-05,INFY,19.29,19.49,19.22,19.39,7522626.0
95,2024-03-04,INFY,19.8,19.805,19.5,19.64,6821799.0
96,2024-03-01,INFY,19.83,19.92,19.76,19.92,6151820.0
97,2024-02-29,INFY,19.96,20.09,19.925,20.03,6256908.0
98,2024-02-28,INFY,19.95,19.96,19.805,19.95,4344668.0
99,2024-02-27,INFY,20.0,20.055,19.9325,19.98,2751538.0
100,2024-02-26,INFY,19.99,20.03,19.83,19.93,5145738.0
101,2024-02-23,INFY,20.11,20.26,20.1,20.21,4228250.0
102,2024-02-22,INFY,20.31,20.36,20.14,20.2,6590221.0
103,2024-02-21,INFY,19.78,19.94,19.68,19.79,6192511.0
104,2024-02-20,INFY,20.02,20.4,19.99,20.28,7587353.0
105,2024-02-16,INFY,20.47,20.58,20.26,20.35,5516570.0
106,2024-02-15,INFY,20.31,20.33,20.19,20.27,5247565.0
