,Date,Symbols,Close,High,Low,Open,Volume
0,2024-07-19,TSLA,239.2,249.44,236.83,247.79,87403903
1,2024-07-18,TSLA,249.23,257.14,247.2,251.09,110869037
2,2024-07-17,TSLA,248.5,258.47,246.182,252.73,115584810
3,2024-07-16,TSLA,256.56,258.62,245.8001,255.31,126332470
4,2024-07-15,TSLA,252.64,265.6,251.73,255.97,146912920
5,2024-07-12,TSLA,248.23,251.84,233.0912,235.8,155955773
6,2024-07-11,TSLA,241.03,271.0,239.65,263.3,221707273
7,2024-07-10,TSLA,263.26,267.59,257.86,262.8,128519430
8,2024-07-09,TSLA,262.33,265.61,250.3,251.0,160742516
9,2024-07-08,TSLA,252.94,259.439,244.57,247.71,157219580
10,2024-07-05,TSLA,251.52,252.37,242.4601,249.81,154501152
11,2024-07-03,TSLA,246.39,248.35,234.25,234.56,166561471
12,2024-07-02,TSLA,231.26,231.3,218.06,218.89,205047920
13,2024-07-01,TSLA,209.86,213.23,200.85,201.02,135691395
14,2024-06-28,TSLA,197.88,203.2,195.26,199.55,95438068
15,2024-06-27,TSLA,197.42,198.72,194.05,195.17,72746521
16,2024-06-26,TSLA,196.37,197.755,186.36,186.54,95737066
17,2024-06-25,TSLA,187.35,187.97,182.01,184.4,63678265
18,2024-06-24,TSLA,182.58,188.8,182.55,184.97,61992070
19,2024-06-21,TSLA,183.01,183.95,180.69,182.3,63029482
20,2024-06-20,TSLA,181.57,185.21,179.66,184.68,55893139
21,2024-06-18,TSLA,184.86,187.2,182.37,186.56,68982265
22,2024-06-17,TSLA,187.44,188.81,177.0,177.92,109786083
23,2024-06-14,TSLA,178.01,186.0,176.92,185.8,82038194
24,2024-06-13,TSLA,182.47,191.08,181.23,188.39,118984122
25,2024-06-12,TSLA,177.29,180.55,169.8,171.12,90389446
26,2024-06-11,TSLA,170.66,174.75,167.41,173.92,64761928
27,2024-06-10,TSLA,173.79,178.57,173.17,176.06,50869682
28,2024-06-07,TSLA,177.48,179.35,175.58,176.13,56244932
29,2024-06-06,TSLA,177.94,179.73,172.73,174.6,69887024
30,2024-06-05,TSLA,175.0,176.15,172.13,175.35,57953756
31,2024-06-04,TSLA,174.77,177.755,174.0,174.775,60056340
32,2024-06-03,TSLA,176.29,182.6389,174.49,178.13,68568920
33,2024-05-31,TSLA,178.08,180.32,173.82,178.5,67314602
